id,mass (g),reclat,reclong
5051,488.1,-33.15639,115.67639
48653,324.0,-31.35,129.19
7743,30.0,-31.66667,152.83333
10033,127.0,-29.46667,151.61667
10120,26000.0,-33.35,146.85833
12264,41730.0,-35.08333,139.91667
16643,330000.0,-26.45,120.36667
16738,8887.5,-40.975,145.6
16766,11300.0,-29.8,141.7
16875,100000.0,-36.61667,145.2
16912,367.5,-34.05,150.68889
22640,1641.0,-23.38333,150.51667
23897,160000.0,-25.73333,142.95
24281,150000.0,-26.59278,120.32833
24334,36000.0,-27.75,115.83333
471,20000.0,-23.33333,134.11667
2309,11090.0,-21.65972,140.90694
2334,18100.0,-23.33333,134.66667
2337,5300.0,-26.5,141.08333
2341,20810.0,-29.06667,139.91667
4909,37850.0,-30.85,122.31667
4914,256.3,-31.61667,118.03333
4927,2400.0,-22.75,120.83333
4929,15.0,-37.57083,143.82533
4931,42200.0,-27.7,115.76667
4951,200000.0,-35.3,144.56667
4981,652.0,-36.8,143.55
5014,118000.0,-30.75,117.78333
5016,27000.0,-37.15,148.91667
52648,103.4,-31.01667,131.31667
54929,13.0,-31.03297,131.28547
54930,0.4,-31.01964,131.30394
56590,114.5,-31.03278,131.28553
5044,19000.0,-30.55,130.96667
5048,893.0,-30.13333,126.36667
5049,5400.0,-34.31667,149.38333
5050,10841.0,-29.88333,150.56667
55546,9056.0,-31.4875,122.12389
5052,11300.0,-34.225,146.38167
5077,1400.0,-41.18333,148.03333
5102,6.2,-23.5,133.83333
5107,2000.0,-31.15,149.11667
5108,12000.0,-30.06667,141.06667
5109,381.0,-29.46667,128.35
5126,500000.0,-22.61667,135.2
5127,202.9,-31.3,138.38333
5146,34000.0,-31.83333,141.76667
5160,992.0,-32.95556,136.1375
5164,38750.0,-29.62917,116.48222
5173,2515.0,-32.05,126.16667
5176,20.4,-31.96667,125.83333
5193,3290.0,-34.06667,139.75
5194,19.0,-26.45,120.36667
5204,25000.0,-30.31667,126.61667
5205,280.0,-30.08333,126.61667
5206,36.6,-30.11667,126.91667
5207,32.8,-30.31667,126.56667
5208,38.0,-30.28333,126.51667
5209,50.96,-30.29167,126.5875
5210,100.3,-30.31667,126.61667
5211,0.8,-30.1085,126.62483
5212,13.4,-30.11967,126.8835
5213,3.4,-30.1255,126.89
5214,28.7,-30.1255,126.89
5215,215.0,-30.134,126.8915
5216,94.3,-30.13333,126.8905
5217,36.0,-30.12433,126.88667
5218,0.3,-30.11967,126.8985
5219,3.5,-30.11883,126.88533
5220,6.44,-30.022,126.5525
5221,12.94,-30.0225,126.552
5222,0.6,-30.07967,126.88917
5223,0.81,-30.07967,126.88917
5224,4.15,-30.06383,126.88417
5225,0.4,-30.0855,126.90117
5226,0.6,-30.08733,126.90167
5227,0.65,-30.09867,126.8855
5228,2.58,-30.09867,126.88533
5229,1.0,-30.09167,126.88883
5230,5.2,-30.09167,126.88883
5231,1.48,-30.09167,126.88883
5232,1.0,-30.09167,126.88883
5233,3.01,-30.09167,126.88883
5234,0.32,-30.09167,126.88883
5235,2.33,-30.09167,126.88883
5236,0.95,-30.09167,126.88883
5237,0.7,-30.09167,126.88883
5238,0.45,-30.09167,126.88883
5239,0.41,-30.09167,126.88883
5240,8.7,-30.1845,126.68367
5241,0.99,-30.18417,126.7
5242,3.57,-30.31667,126.6
5243,55.1,-30.31667,126.61667
50974,18.8,-30.11683,126.8755
50975,37.6,-30.12283,126.888
50976,69.95,-30.13933,126.901
50977,15.29,-30.11967,126.86683
50978,26.9,-30.107,126.84217
50979,9.09,-30.119,126.838
50980,28.27,-30.32,126.606
50981,104.3,-30.32,126.606
50982,13.63,-30.32,126.606
50987,19.9,-30.1085,126.52717
50988,5.0,-30.30883,126.5845
50989,61.4,-30.3685,126.6125
55717,579.0,-30.31667,126.61667
5268,6.4,-32.1,125.68333
5271,49.5,-29.16667,127.08333
5272,410.0,-29.16667,127.16667
5273,116.0,-29.15,127.16667
5274,809.0,-29.16667,127.16667
5275,502.0,-29.18333,127.16667
5279,800.0,-37.98333,140.98333
5281,31600.0,-29.23333,139.93333
5283,294.0,-29.75,141.03333
5294,10.0,-41.5,145.41667
5360,2000.0,-29.91667,129.83333
5390,429.0,-26.66667,120.16667
5391,2460.0,-32.13333,141.03333
5392,19500.0,-31.93333,126.21667
5393,482.0,-32.81667,134.8
5412,56.2,-29.6,126.50667
5413,100.0,-29.785,126.58833
5416,304.3,-31.2,138.3
5421,105000.0,-30.33333,130.53333
5422,61.0,-30.25,130.66667
5423,1536.9,-30.31833,129.06333
5424,149.0,-30.70167,130.45611
5425,97.0,-30.24833,130.54083
5426,41.8,-30.50683,130.404
5427,100000.0,-30.61667,130.41667
5428,84.2,-30.50683,130.404
5429,35.4,-30.16967,130.70533
5430,471.0,-30.23433,130.60067
54926,6.6,-30.91378,130.90386
54927,46.8,-30.94775,130.90858
5432,19280.0,-34.96667,148.125
5433,393.0,-34.81667,147.13333
5435,5230.0,-35.41667,139.75
5437,6800.0,-29.85,140.7
5439,116.7,-30.45,126.1
5446,11340.0,-36.0,146.36667
5452,2156.0,-27.95,122.88333
5457,5717.0,-33.3,136.01667
5458,5560.0,-33.85,148.68333
5460,284.0,-30.4,127.43333
5463,8600000.0,-38.1,145.3
5468,10820.0,-30.36667,120.73333
5473,3.8,-32.01667,139.78333
5506,12200.0,-27.71667,117.25
5507,257000.0,-25.33333,116.18333
6625,109.5,-30.88333,128.96667
6626,4.5,-30.88333,128.975
6627,82.6,-30.88333,128.66667
6628,127.9,-30.47,128.745
6629,77.0,-30.53333,128.56667
6630,274.0,-30.58333,128.66667
6631,1060.0,-30.16667,128.66667
